label,outcome,score_term,fe_spec,estimate,se,pvalue,n,r2
ECB PC -> SX5E [net],SX5E,net_score,A,0.17371496371249706,0.11395093486324342,0.12870756850235157,243,0.012280008431760359
ECB PC -> SX5E [net],SX5E,net_score,B,0.15668725836127426,0.1455703970293867,0.2828573470135784,243,0.012628460405769926
ECB PC -> SX5E [net],SX5E,net_score,C,0.175284927110044,0.1674489768967991,0.296269124389902,243,0.013429630441363805
ECB PC -> EURUSD [net],EURUSD,net_score,A,0.012368372190795607,0.07681611081176942,0.8722188208682997,243,0.01658302414989321
ECB PC -> EURUSD [net],EURUSD,net_score,B,-0.09837015858471829,0.0893202322290661,0.2718746442196772,243,0.031119386285071937
ECB PC -> EURUSD [net],EURUSD,net_score,C,-0.08364073137072796,0.13837702563778045,0.5461336821011251,243,0.031392978927462734
ECB PC -> SX7E [net],SX7E,net_score,A,0.3815228603476113,0.1979491496331367,0.055112848072876607,243,0.019042716702002416
ECB PC -> SX7E [net],SX7E,net_score,B,0.32229143065355026,0.25163166870276343,0.2015136547138426,243,0.021619962979192886
ECB PC -> SX7E [net],SX7E,net_score,C,0.14193434479046474,0.27293085712611376,0.6035268092797303,243,0.026656031310121064
ECB PC -> OIS_MP2 [net],OIS_MP2,net_score,A,-0.7188429925958902,0.781616840565514,0.35869149213628504,235,0.07208964752935465
ECB PC -> OIS_MP2 [net],OIS_MP2,net_score,B,-0.456672947006108,1.0906201884776558,0.6758075605672335,235,0.08104153849426676
ECB PC -> OIS_MP2 [net],OIS_MP2,net_score,C,-1.0597833061607191,1.3555969673042256,0.43515648858233924,235,0.0841601145272668
ECB PC -> OIS_10Y [net],OIS_10Y,net_score,A,-0.6996533163543096,1.2421878269561466,0.5745056637945445,105,0.02332532278690258
ECB PC -> OIS_10Y [net],OIS_10Y,net_score,B,-0.6467170523850978,1.1468284253357626,0.5740725444228859,105,0.027021025650757702
ECB PC -> OIS_10Y [net],OIS_10Y,net_score,C,-1.3092237908574953,1.428245769840751,0.3615455129026901,105,0.031196240134653497
ECB PC -> DE2Y [net],DE2Y,net_score,A,-0.3583864793392435,0.8568757354909322,0.6761398713401399,243,0.05649874273418287
ECB PC -> DE2Y [net],DE2Y,net_score,B,-0.049838608602059326,1.226232764758597,0.9676141813888242,243,0.06895321276702315
ECB PC -> DE2Y [net],DE2Y,net_score,C,-0.6956167539966653,1.3830802766588035,0.6154722269503262,243,0.07419460082433971
ECB PC -> DE10Y [net],DE10Y,net_score,A,-0.5830383506512191,0.5947905206697238,0.3279540079381208,243,0.009185043827808936
ECB PC -> DE10Y [net],DE10Y,net_score,B,-1.087137428792432,0.7613829708456282,0.1546526251100813,243,0.01852917370874363
ECB PC -> DE10Y [net],DE10Y,net_score,C,-1.4572463297424072,0.9847697632444318,0.14027026374052207,243,0.020129851472072025
ECB PC -> IT10Y_spread [net],IT10Y_spread,net_score,A,-1.264825649521283,1.0280059539487991,0.2198914033265893,220,0.007977609873205282
ECB PC -> IT10Y_spread [net],IT10Y_spread,net_score,B,-0.71323515797307,1.3100886766661164,0.5867210491760975,220,0.011499810647924824
ECB PC -> IT10Y_spread [net],IT10Y_spread,net_score,C,-0.10956745293809123,1.3721830812075244,0.9364326723474699,220,0.016601336236467756
FOMC Stmt -> SP500 [fwd/curr],SP500,net_score_fwd,A,-0.3026812315143602,0.17657875208964485,0.08786144719149935,232,0.054250234843809975
FOMC Stmt -> SP500 [fwd/curr],SP500,net_score_curr,A,0.10710259696631362,0.1769133419259813,0.5455181496890551,232,0.054250234843809975
FOMC Stmt -> SP500 [fwd/curr],SP500,net_score_fwd,B,-0.23616176441708037,0.2401908190955571,0.3265524891859415,232,0.06030420406364512
FOMC Stmt -> SP500 [fwd/curr],SP500,net_score_curr,B,0.15295332222187358,0.20092115007487152,0.44729864651374773,232,0.06030420406364512
FOMC Stmt -> SP500 [fwd/curr],SP500,net_score_fwd,C,-0.13375193569541485,0.24156871355486048,0.5803521069215971,232,0.06290535730920443
FOMC Stmt -> SP500 [fwd/curr],SP500,net_score_curr,C,0.15649659116816939,0.24145132383753296,0.5175549629823204,232,0.06290535730920443
FOMC Stmt -> EURUSD [fwd/curr],EURUSD,net_score_fwd,A,-0.02599525561706685,0.13059895542717154,0.8424053836148877,230,0.06237121979193183
FOMC Stmt -> EURUSD [fwd/curr],EURUSD,net_score_curr,A,0.10798663425619007,0.12047882093403679,0.3710397809629131,230,0.06237121979193183
FOMC Stmt -> EURUSD [fwd/curr],EURUSD,net_score_fwd,B,-0.029160443678635302,0.1366284960073748,0.8311875864041443,230,0.06840888299792636
FOMC Stmt -> EURUSD [fwd/curr],EURUSD,net_score_curr,B,0.08982151855600658,0.12547043848524242,0.47481565796579694,230,0.06840888299792636
FOMC Stmt -> EURUSD [fwd/curr],EURUSD,net_score_fwd,C,-0.045766541105171685,0.1609030561087276,0.7763429922202513,230,0.07667939730977424
FOMC Stmt -> EURUSD [fwd/curr],EURUSD,net_score_curr,C,0.1741683080074115,0.13878320786181397,0.21081630129885534,230,0.07667939730977424
FOMC Stmt -> DXY [fwd/curr],DXY,net_score_fwd,A,0.002060461803467483,0.1225380740854963,0.9865983942424683,242,0.09684976056643213
FOMC Stmt -> DXY [fwd/curr],DXY,net_score_curr,A,-0.08244049470651191,0.10635970562510605,0.43904395871357993,242,0.09684976056643213
FOMC Stmt -> DXY [fwd/curr],DXY,net_score_fwd,B,0.017770333572054094,0.1307122256165301,0.8919771536278607,242,0.10874190574732656
FOMC Stmt -> DXY [fwd/curr],DXY,net_score_curr,B,-0.03378709530972017,0.11262504641382974,0.7644451838224475,242,0.10874190574732656
FOMC Stmt -> DXY [fwd/curr],DXY,net_score_fwd,C,0.024252228096873253,0.150536012489241,0.8721496557004249,242,0.1208286202552592
FOMC Stmt -> DXY [fwd/curr],DXY,net_score_curr,C,-0.14287521576262607,0.12685845636612159,0.26121543666250274,242,0.1208286202552592
FOMC Stmt -> UST2Y [fwd/curr],UST2Y,net_score_fwd,A,0.012920728642522684,0.016526280753595666,0.4350920522305116,242,0.19177097521810416
FOMC Stmt -> UST2Y [fwd/curr],UST2Y,net_score_curr,A,0.007051921976751124,0.018025565572348325,0.6959862640988062,242,0.19177097521810416
FOMC Stmt -> UST2Y [fwd/curr],UST2Y,net_score_fwd,B,0.0166945790840574,0.01930593588978394,0.3880643716940716,242,0.19295378405521668
FOMC Stmt -> UST2Y [fwd/curr],UST2Y,net_score_curr,B,0.007003352019569045,0.01757849089196702,0.6906936828844317,242,0.19295378405521668
FOMC Stmt -> UST2Y [fwd/curr],UST2Y,net_score_fwd,C,0.014005434843695496,0.02080957876254665,0.5015962777350604,242,0.19332273494913343
