label_a,label_b,n,corpus,label_a_name,label_b_name,total,agreement
neutral,hawkish,1,FOMC PC,dict,MP1surprise,91,0.132
dovish,hawkish,8,FOMC PC,dict,MP1surprise,91,0.132
hawkish,neutral,42,FOMC PC,dict,MP1surprise,91,0.132
neutral,neutral,4,FOMC PC,dict,MP1surprise,91,0.132
dovish,neutral,22,FOMC PC,dict,MP1surprise,91,0.132
hawkish,dovish,4,FOMC PC,dict,MP1surprise,91,0.132
neutral,dovish,2,FOMC PC,dict,MP1surprise,91,0.132
dovish,dovish,6,FOMC PC,dict,MP1surprise,91,0.132
hawkish,hawkish,2,FOMC PC,RF,MP1surprise,91,0.538
neutral,hawkish,7,FOMC PC,RF,MP1surprise,91,0.538
dovish,hawkish,2,FOMC PC,RF,MP1surprise,91,0.538
hawkish,neutral,17,FOMC PC,RF,MP1surprise,91,0.538
neutral,neutral,44,FOMC PC,RF,MP1surprise,91,0.538
dovish,neutral,7,FOMC PC,RF,MP1surprise,91,0.538
hawkish,dovish,1,FOMC PC,RF,MP1surprise,91,0.538
neutral,dovish,8,FOMC PC,RF,MP1surprise,91,0.538
dovish,dovish,3,FOMC PC,RF,MP1surprise,91,0.538
hawkish,hawkish,0,FOMC PC,BERT,MP1surprise,91,0.209
neutral,hawkish,0,FOMC PC,BERT,MP1surprise,91,0.209
dovish,hawkish,11,FOMC PC,BERT,MP1surprise,91,0.209
hawkish,neutral,1,FOMC PC,BERT,MP1surprise,91,0.209
neutral,neutral,8,FOMC PC,BERT,MP1surprise,91,0.209
dovish,neutral,59,FOMC PC,BERT,MP1surprise,91,0.209
hawkish,dovish,0,FOMC PC,BERT,MP1surprise,91,0.209
neutral,dovish,1,FOMC PC,BERT,MP1surprise,91,0.209
dovish,dovish,11,FOMC PC,BERT,MP1surprise,91,0.209
hawkish,hawkish,5,ECB stmt,dict,RF,275,0.578
neutral,hawkish,13,ECB stmt,dict,RF,275,0.578
dovish,hawkish,6,ECB stmt,dict,RF,275,0.578
hawkish,neutral,2,ECB stmt,dict,RF,275,0.578
neutral,neutral,149,ECB stmt,dict,RF,275,0.578
dovish,neutral,57,ECB stmt,dict,RF,275,0.578
hawkish,dovish,1,ECB stmt,dict,RF,275,0.578
neutral,dovish,37,ECB stmt,dict,RF,275,0.578
dovish,dovish,5,ECB stmt,dict,RF,275,0.578
hawkish,hawkish,6,ECB stmt,dict,BERT,276,0.855
neutral,hawkish,9,ECB stmt,dict,BERT,276,0.855
dovish,hawkish,13,ECB stmt,dict,BERT,276,0.855
hawkish,neutral,0,ECB stmt,dict,BERT,276,0.855
neutral,neutral,185,ECB stmt,dict,BERT,276,0.855
