label,outcome,score_term,fe_spec,estimate,se,pvalue,n,r2,stars,coef_print,se_print,significant_10
ECB Stmt -> EURUSD [fwd/curr],EURUSD,net_score_fwd,B,0.10758685588635064,0.15639449020488738,0.49215145908417646,253,0.02839243579935546,,0.1076,(0.1564),FALSE
ECB Stmt -> EURUSD [fwd/curr],EURUSD,net_score_curr,C,-0.13535141625770697,0.2221073915975797,0.5428288239294574,253,0.03330894486903202,,-0.1354,(0.2221),FALSE
ECB Stmt -> EURUSD [fwd/curr],EURUSD,net_score_fwd,C,0.1620919427701231,0.1732691722340449,0.3504596718148477,253,0.03330894486903202,,0.1621,(0.1733),FALSE
ECB Stmt -> IT10Y_spread [fwd/curr],IT10Y_spread,net_score_curr,A,-6.538589578645093,3.468273699744012,0.0606611811835832,233,0.0743327120667483,*,-6.5386*,(3.4683),TRUE
ECB Stmt -> IT10Y_spread [fwd/curr],IT10Y_spread,net_score_fwd,A,4.337855077274002,2.2371911801680353,0.05373317822907646,233,0.0743327120667483,*,4.3379*,(2.2372),TRUE
ECB Stmt -> IT10Y_spread [fwd/curr],IT10Y_spread,net_score_curr,B,-6.327543634858475,3.428593719303868,0.06626981262568458,233,0.10368384009260224,*,-6.3275*,(3.4286),TRUE
ECB Stmt -> IT10Y_spread [fwd/curr],IT10Y_spread,net_score_fwd,B,4.18020469700264,2.304283595831971,0.07098817003860781,233,0.10368384009260224,*,4.1802*,(2.3043),TRUE
ECB Stmt -> IT10Y_spread [fwd/curr],IT10Y_spread,net_score_curr,C,-6.429149148200515,3.615108251406861,0.07669269450391962,233,0.10780646477603184,*,-6.4291*,(3.6151),TRUE
ECB Stmt -> IT10Y_spread [fwd/curr],IT10Y_spread,net_score_fwd,C,3.818380056669638,1.9562207236458404,0.05219433966837092,233,0.10780646477603184,*,3.8184*,(1.9562),TRUE
ECB Stmt -> OIS_10Y [fwd/curr],OIS_10Y,net_score_curr,A,-2.6708973394535422,3.1969317817531056,0.4052883168822146,113,0.03192570700539299,,-2.6709,(3.1969),FALSE
ECB Stmt -> OIS_10Y [fwd/curr],OIS_10Y,net_score_fwd,A,0.5795079536856601,1.4374081200941635,0.6876189627827162,113,0.03192570700539299,,0.5795,(1.4374),FALSE
ECB Stmt -> OIS_10Y [fwd/curr],OIS_10Y,net_score_curr,B,-2.826464419862714,3.335266370732497,0.39863712169452115,113,0.03532925970105027,,-2.8265,(3.3353),FALSE
ECB Stmt -> OIS_10Y [fwd/curr],OIS_10Y,net_score_fwd,B,0.44419689307777144,1.4342965406974797,0.7573939417526645,113,0.03532925970105027,,0.4442,(1.4343),FALSE
ECB Stmt -> OIS_10Y [fwd/curr],OIS_10Y,net_score_curr,C,-2.7514373261799,3.285839588607875,0.4042730953181119,113,0.0447471081109948,,-2.7514,(3.2858),FALSE
ECB Stmt -> OIS_10Y [fwd/curr],OIS_10Y,net_score_fwd,C,0.8850195484721921,1.6022989296205872,0.5818757621773314,113,0.0447471081109948,,0.8850,(1.6023),FALSE
ECB Stmt -> OIS_MP2 [fwd/curr],OIS_MP2,net_score_curr,A,-2.609784872523641,5.05793987197243,0.6063449141450076,244,0.21594182957102023,,-2.6098,(5.0579),FALSE
ECB Stmt -> OIS_MP2 [fwd/curr],OIS_MP2,net_score_fwd,A,0.8694123458942687,2.3302164416299287,0.709400594816728,244,0.21594182957102023,,0.8694,(2.3302),FALSE
ECB Stmt -> OIS_MP2 [fwd/curr],OIS_MP2,net_score_curr,B,-3.019155826663847,5.259166496768399,0.5664615006104943,244,0.2342376725803298,,-3.0192,(5.2592),FALSE
ECB Stmt -> OIS_MP2 [fwd/curr],OIS_MP2,net_score_fwd,B,-0.07257683580231583,2.063645794812539,0.9719743998651448,244,0.2342376725803298,,-0.0726,(2.0636),FALSE
ECB Stmt -> OIS_MP2 [fwd/curr],OIS_MP2,net_score_curr,C,-3.036650210019924,5.1972870861727385,0.559595078798893,244,0.23739968101668377,,-3.0367,(5.1973),FALSE
