corpus,outcome,score,n,coef,se,p,stars,r2
ECB statements,SX7E,net_score,253,-0.22137311290996375,0.22882983516736333,0.33427221048157196,,0.05700499310633162
ECB statements,SX7E,rf_score,252,0.7474394966934481,0.33315448086644917,0.025742764901530345,**,0.1020538271502252
ECB statements,SX7E,bert_score,253,0.18834022115116708,0.6144080183122431,0.7594491879049343,,0.05215326328242503
ECB statements,EURUSD,net_score,253,0.05970821815199473,0.07441476132179292,0.42310067777056815,,0.00438503123047591
ECB statements,EURUSD,rf_score,252,-0.027956645961762516,0.12694206810635528,0.8258712971181704,,0.0018209448905825367
ECB statements,EURUSD,bert_score,253,-0.0440726821707539,0.2490032725279779,0.8596545289964042,,0.00203870801185257
ECB statements,OIS_MP2,net_score,244,-0.4036160386253489,0.7444468231550616,0.5882029923949086,,0.21025315696501604
ECB statements,OIS_MP2,rf_score,243,-0.7118932578297513,1.7754146257645367,0.6887967801358862,,0.20806973946696866
ECB statements,OIS_MP2,bert_score,244,-3.778397774495646,2.3311978031127683,0.10636886807537249,,0.2275388429495149
ECB statements,OIS_5Y,net_score,112,-1.0554665291403078,1.0093013939273614,0.29799474639771095,,0.023387149275847396
ECB statements,OIS_5Y,rf_score,112,-0.4830741237586554,2.0615280932717512,0.8151697989732559,,0.015515036517874475
ECB statements,OIS_5Y,bert_score,112,-3.134022956747374,2.579879021277532,0.22706949799310408,,0.032297080394604806
ECB statements,OIS_10Y,net_score,113,-0.6497242597012072,0.7540568450651354,0.39076100036819916,,0.01584009337960171
ECB statements,OIS_10Y,rf_score,113,-0.6278860746791058,1.4963102604798846,0.6755793581243195,,0.013531402284238065
ECB statements,OIS_10Y,bert_score,113,-1.4037635163672249,2.026619353479371,0.4899810329595705,,0.016070725554526703
ECB statements,DE2Y,net_score,253,-0.4189526856402564,0.8475010221171614,0.6215009802307679,,0.11669036563207821
ECB statements,DE2Y,rf_score,252,-0.9296966572759319,1.6560297987252226,0.5750291610765002,,0.11616787971757593
ECB statements,DE2Y,bert_score,253,-4.1992195651602735,2.330009908920551,0.07271330440711295,*,0.1379257996599455
ECB statements,DE10Y,net_score,253,-0.15101418794656646,0.7096723105114964,0.8316608582209182,,0.03567005258119554
ECB statements,DE10Y,rf_score,252,-0.43994018540921287,1.2160468370448039,0.7178240164351272,,0.043524019738580874
ECB statements,DE10Y,bert_score,253,-2.5418434695702867,1.9371892989815114,0.19067988920602075,,0.05155397173209887
ECB statements,IT10Y_spread,net_score,233,1.3950469553517755,1.2852342110775228,0.27886238740560343,,0.019542693294641023
ECB statements,IT10Y_spread,rf_score,232,0.0929396071632378,1.0910947891897131,0.9321926020411165,,0.004982426507907051
ECB statements,IT10Y_spread,bert_score,233,0.4479152063969128,3.2282580359066158,0.8897704817594957,,0.00513336675784807
ECB press conferences,SX5E,net_score,243,0.17371496371249706,0.11395093486324341,0.12870756850235154,,0.012280008431761254
ECB press conferences,SX5E,rf_score,231,0.19106730498962285,0.12365275144881321,0.12368654864055387,,0.010350636529658548
ECB press conferences,SX5E,bert_score,243,0.4553504679747211,0.1876889265048095,0.016000444149814472,**,0.022128776206152317
ECB press conferences,SX7E,net_score,243,0.38152286034761124,0.19794914963313656,0.055112848072876475,*,0.0190427167020026
ECB press conferences,SX7E,rf_score,231,0.08482535068457324,0.17088868626779607,0.6201060874201899,,8.90121596091561e-4
ECB press conferences,SX7E,bert_score,243,0.6707073267423307,0.31201968835502975,0.032589544875331874,**,0.01635124552265359
ECB press conferences,EURUSD,net_score,243,0.012368372190795607,0.07681611081176937,0.8722188208682997,,0.016583024149893637
ECB press conferences,EURUSD,rf_score,231,-0.15933015942071446,0.08204627834173919,0.053374413852365854,*,0.041223509469899215
ECB press conferences,EURUSD,bert_score,243,-0.03540664327333038,0.1350726258855182,0.7934457467532089,,0.016726758213229716
ECB press conferences,OIS_MP2,net_score,235,-0.7188429925958899,0.7816168405655135,0.35869149213628504,,0.07208964752935429
ECB press conferences,OIS_MP2,rf_score,224,0.5963044483214032,0.9429563359430356,0.5277938756505413,,0.08027660292319463
ECB press conferences,OIS_MP2,bert_score,235,1.7724071885242152,1.3217653292454494,0.18125152126656044,,0.07452023095753693
ECB press conferences,OIS_5Y,net_score,104,-0.8159642411444529,1.5664335551476798,0.6035726164409204,,0.09946211466043567
ECB press conferences,OIS_5Y,rf_score,104,-1.3850547248335494,1.698509374344087,0.41673186842972876,,0.1086365700720895
ECB press conferences,OIS_5Y,bert_score,104,0.4788057432326501,2.2991696630312277,0.8354519051237168,,0.09533504228757876
ECB press conferences,OIS_10Y,net_score,105,-0.6996533163543085,1.2421878269561453,0.5745056637945449,,0.02332532278690318
ECB press conferences,OIS_10Y,rf_score,105,-1.539282315371363,1.342776470099148,0.25433543066395375,,0.042784872348281586
ECB press conferences,OIS_10Y,bert_score,105,0.2017246945209532,1.9746303960112013,0.918831666662131,,0.018759063841419402
ECB press conferences,DE2Y,net_score,243,-0.35838647933924284,0.8568757354909327,0.6761398713401405,,0.056498742734182233
ECB press conferences,DE2Y,rf_score,231,0.853525286156809,1.1426039442761782,0.45583312305524104,,0.059326944620482935
ECB press conferences,DE2Y,bert_score,243,2.3181161977572633,1.4044620514327593,0.10014119616329706,,0.06492768280982839
ECB press conferences,DE10Y,net_score,243,-0.5830383506512195,0.5947905206697238,0.3279540079381206,,0.009185043827808428
ECB press conferences,DE10Y,rf_score,231,-0.6263420969591553,0.7944203184901295,0.431266210820494,,0.009296981749479504
ECB press conferences,DE10Y,bert_score,243,0.28431212036943865,1.0212910344769612,0.7809565175202053,,0.004956372067158786
ECB press conferences,IT10Y_spread,net_score,220,-1.2648256495212813,1.028005953948798,0.21989140332658946,,0.007977609873205017
ECB press conferences,IT10Y_spread,rf_score,215,0.1210397019070109,0.939054003786051,0.8975626493514464,,9.960880186977021e-5
ECB press conferences,IT10Y_spread,bert_score,220,-2.7840014224291463,1.8323071571210532,0.13011831569624788,,0.010575283757730024
