corpus,central_bank,document_type,meeting_date,event_id,source,is_scheduled,is_fomc_intermeeting
ECB Press Conference,ECB,Press Conference,2008-05-08,ecb_pressconf_20080508,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2008-06-05,ecb_pressconf_20080605,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2008-07-03,ecb_pressconf_20080703,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2008-08-07,ecb_pressconf_20080807,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2008-09-04,ecb_pressconf_20080904,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2008-10-02,ecb_pressconf_20081002,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2008-11-06,ecb_pressconf_20081106,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2008-12-04,ecb_pressconf_20081204,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2009-01-15,ecb_pressconf_20090115,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2009-02-05,ecb_pressconf_20090205,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2009-03-05,ecb_pressconf_20090305,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2009-04-02,ecb_pressconf_20090402,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2009-05-07,ecb_pressconf_20090507,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2009-06-04,ecb_pressconf_20090604,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2009-07-02,ecb_pressconf_20090702,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2009-08-06,ecb_pressconf_20090806,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2009-09-03,ecb_pressconf_20090903,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2009-10-08,ecb_pressconf_20091008,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2009-10-29,ecb_pressconf_20091029,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2009-11-05,ecb_pressconf_20091105,ecb_press_conferences,TRUE,FALSE
