corpus_long,meeting_date,rate_label,net_score,comparison_score,other_score,comparison
FOMC statements,2005-09-20,hawkish,0.05263157894736842,rf_score,0.17647016525322995,Dictionary vs Random Forest
FOMC statements,2005-09-20,hawkish,0.05263157894736842,bert_score,0,Dictionary vs RoBERTa/BERT
FOMC statements,2005-11-01,hawkish,0.05263157894736842,rf_score,0.7939508506616257,Dictionary vs Random Forest
FOMC statements,2005-11-01,hawkish,0.05263157894736842,bert_score,0,Dictionary vs RoBERTa/BERT
FOMC statements,2005-12-13,hawkish,0.2307692307692308,rf_score,0.7682912739434477,Dictionary vs Random Forest
FOMC statements,2005-12-13,hawkish,0.2307692307692308,bert_score,0.06666666666666667,Dictionary vs RoBERTa/BERT
FOMC statements,2006-01-31,hawkish,0.2857142857142857,rf_score,0.7236555714816583,Dictionary vs Random Forest
FOMC statements,2006-01-31,hawkish,0.2857142857142857,bert_score,0.14285714285714285,Dictionary vs RoBERTa/BERT
FOMC statements,2006-03-28,hawkish,0.3333333333333333,rf_score,0.7032987437399202,Dictionary vs Random Forest
FOMC statements,2006-03-28,hawkish,0.3333333333333333,bert_score,0.06666666666666667,Dictionary vs RoBERTa/BERT
FOMC statements,2006-05-10,hawkish,0.3333333333333333,rf_score,0.4438036083998817,Dictionary vs Random Forest
FOMC statements,2006-05-10,hawkish,0.3333333333333333,bert_score,0.2,Dictionary vs RoBERTa/BERT
FOMC statements,2006-06-29,hawkish,0.375,rf_score,0.28364052130976697,Dictionary vs Random Forest
FOMC statements,2006-06-29,hawkish,0.375,bert_score,0.06666666666666667,Dictionary vs RoBERTa/BERT
FOMC statements,2006-08-08,neutral,0.2307692307692308,rf_score,-0.245505235359104,Dictionary vs Random Forest
FOMC statements,2006-08-08,neutral,0.2307692307692308,bert_score,0,Dictionary vs RoBERTa/BERT
FOMC statements,2006-09-20,neutral,0.16666666666666666,rf_score,-0.23944436613140865,Dictionary vs Random Forest
FOMC statements,2006-09-20,neutral,0.16666666666666666,bert_score,0,Dictionary vs RoBERTa/BERT
FOMC statements,2006-10-25,neutral,0.07692307692307693,rf_score,-0.280920498936563,Dictionary vs Random Forest
FOMC statements,2006-10-25,neutral,0.07692307692307693,bert_score,-0.06666666666666667,Dictionary vs RoBERTa/BERT
FOMC statements,2006-12-12,neutral,0.07692307692307693,rf_score,-0.33456710127343187,Dictionary vs Random Forest
FOMC statements,2006-12-12,neutral,0.07692307692307693,bert_score,0,Dictionary vs RoBERTa/BERT
FOMC statements,2007-01-31,neutral,0.09090909090909093,rf_score,-0.1816608490247392,Dictionary vs Random Forest
FOMC statements,2007-01-31,neutral,0.09090909090909093,bert_score,0,Dictionary vs RoBERTa/BERT
FOMC statements,2007-03-21,neutral,0.16666666666666666,rf_score,-0.1438814269391639,Dictionary vs Random Forest
FOMC statements,2007-03-21,neutral,0.16666666666666666,bert_score,0,Dictionary vs RoBERTa/BERT
FOMC statements,2007-05-09,neutral,0,rf_score,-0.1347509538978235,Dictionary vs Random Forest
FOMC statements,2007-05-09,neutral,0,bert_score,-0.06666666666666667,Dictionary vs RoBERTa/BERT
FOMC statements,2007-08-07,neutral,0.06666666666666667,rf_score,-0.07687694943013579,Dictionary vs Random Forest
FOMC statements,2007-08-07,neutral,0.06666666666666667,bert_score,-0.2,Dictionary vs RoBERTa/BERT
FOMC statements,2007-08-17,NA,-0.09090909090909093,bert_score,-0.07692307692307693,Dictionary vs RoBERTa/BERT
FOMC statements,2007-09-18,dovish,-0.07692307692307693,rf_score,-0.8715007215007214,Dictionary vs Random Forest
FOMC statements,2007-09-18,dovish,-0.07692307692307693,bert_score,-0.29411764705882354,Dictionary vs RoBERTa/BERT
FOMC statements,2007-10-31,dovish,0,rf_score,-0.8451515151515152,Dictionary vs Random Forest
FOMC statements,2007-10-31,dovish,0,bert_score,-0.25,Dictionary vs RoBERTa/BERT
FOMC statements,2007-12-11,dovish,-0.125,rf_score,-0.9539485766758496,Dictionary vs Random Forest
FOMC statements,2007-12-11,dovish,-0.125,bert_score,-0.2222222222222222,Dictionary vs RoBERTa/BERT
FOMC statements,2008-01-22,dovish,-0.4444444444444444,rf_score,-0.08602945838397075,Dictionary vs Random Forest
FOMC statements,2008-01-30,dovish,-0.3333333333333333,rf_score,-0.8582472928733318,Dictionary vs Random Forest
FOMC statements,2008-01-30,dovish,-0.3333333333333333,bert_score,-0.2222222222222222,Dictionary vs RoBERTa/BERT
FOMC statements,2008-03-11,NA,0,bert_score,0.3333333333333333,Dictionary vs RoBERTa/BERT
FOMC statements,2008-03-18,dovish,-0.2,rf_score,-0.8345404354100006,Dictionary vs Random Forest
FOMC statements,2008-03-18,dovish,-0.2,bert_score,-0.30434782608695654,Dictionary vs RoBERTa/BERT
FOMC statements,2008-04-30,dovish,-0.14285714285714285,rf_score,-0.864230540701129,Dictionary vs Random Forest
FOMC statements,2008-04-30,dovish,-0.14285714285714285,bert_score,-0.3684210526315789,Dictionary vs RoBERTa/BERT
FOMC statements,2008-06-25,neutral,-0.06666666666666667,rf_score,-0.22996136164885153,Dictionary vs Random Forest
FOMC statements,2008-06-25,neutral,-0.06666666666666667,bert_score,-0.1111111111111111,Dictionary vs RoBERTa/BERT
FOMC statements,2008-08-05,neutral,-0.06666666666666667,rf_score,-0.1305718206667031,Dictionary vs Random Forest
FOMC statements,2008-08-05,neutral,-0.06666666666666667,bert_score,-0.15789473684210523,Dictionary vs RoBERTa/BERT
FOMC statements,2008-09-16,neutral,-0.06666666666666667,rf_score,-0.6933145927673706,Dictionary vs Random Forest
FOMC statements,2008-09-16,neutral,-0.06666666666666667,bert_score,-0.2222222222222222,Dictionary vs RoBERTa/BERT
FOMC statements,2008-10-08,dovish,-0.04761904761904761,rf_score,-0.8386437965092834,Dictionary vs Random Forest
FOMC statements,2008-10-08,dovish,-0.04761904761904761,bert_score,-0.391304347826087,Dictionary vs RoBERTa/BERT
FOMC statements,2008-10-29,dovish,-0.4117647058823529,rf_score,-0.8717891278375149,Dictionary vs Random Forest
FOMC statements,2008-10-29,dovish,-0.4117647058823529,bert_score,-0.3684210526315789,Dictionary vs RoBERTa/BERT
FOMC statements,2008-12-16,dovish,0,rf_score,0.34867062623229617,Dictionary vs Random Forest
FOMC statements,2008-12-16,dovish,0,bert_score,0,Dictionary vs RoBERTa/BERT
