corpus_key,corpus_long,bank,document_type,meeting_date,score_name,score,method,score_z
fomc_stmt,FOMC statements,FOMC,statement,2001-11-06,bert_score,-0.3333333333333333,RoBERTa/BERT,-1.0285481836090278
fomc_stmt,FOMC statements,FOMC,statement,2001-12-11,net_score,-0.25,Dictionary,-0.8689354001516044
fomc_stmt,FOMC statements,FOMC,statement,2001-12-11,rf_score,-0.9867472680771912,Random Forest,-2.093584232144637
fomc_stmt,FOMC statements,FOMC,statement,2001-12-11,bert_score,-0.375,RoBERTa/BERT,-1.2227531447302804
fomc_stmt,FOMC statements,FOMC,statement,2002-01-30,net_score,-0.2857142857142857,Dictionary,-1.0224057835446494
fomc_stmt,FOMC statements,FOMC,statement,2002-01-30,rf_score,-0.5476376737133416,Random Forest,-1.17145569604248
fomc_stmt,FOMC statements,FOMC,statement,2002-01-30,bert_score,-0.07692307692307693,RoBERTa/BERT,0.16655926944483448
fomc_stmt,FOMC statements,FOMC,statement,2002-03-19,net_score,0.09090909090909093,Dictionary,0.5960091686001892
fomc_stmt,FOMC statements,FOMC,statement,2002-03-19,rf_score,-0.08727935717621624,Random Forest,-0.20470492138488702
fomc_stmt,FOMC statements,FOMC,statement,2002-03-19,bert_score,0.09090909090909093,RoBERTa/BERT,0.9488114205346354
fomc_stmt,FOMC statements,FOMC,statement,2002-05-07,net_score,0.09090909090909093,Dictionary,0.5960091686001892
fomc_stmt,FOMC statements,FOMC,statement,2002-05-07,rf_score,0.04744370992966335,Random Forest,0.07821302494128199
fomc_stmt,FOMC statements,FOMC,statement,2002-05-07,bert_score,0.09090909090909093,RoBERTa/BERT,0.9488114205346354
fomc_stmt,FOMC statements,FOMC,statement,2002-06-26,net_score,0.09090909090909093,Dictionary,0.5960091686001892
fomc_stmt,FOMC statements,FOMC,statement,2002-06-26,rf_score,-0.10906875956054853,Random Forest,-0.25046258639859265
fomc_stmt,FOMC statements,FOMC,statement,2002-06-26,bert_score,0,RoBERTa/BERT,0.5250915053609932
fomc_stmt,FOMC statements,FOMC,statement,2002-08-13,net_score,-0.2857142857142857,Dictionary,-1.0224057835446494
fomc_stmt,FOMC statements,FOMC,statement,2002-08-13,rf_score,-0.2767449880807517,Random Forest,-0.6025820507169861
fomc_stmt,FOMC statements,FOMC,statement,2002-08-13,bert_score,-0.2307692307692308,RoBERTa/BERT,-0.550505202387483
fomc_stmt,FOMC statements,FOMC,statement,2002-09-24,net_score,-0.2857142857142857,Dictionary,-1.0224057835446494
fomc_stmt,FOMC statements,FOMC,statement,2002-09-24,rf_score,-0.463044082710986,Random Forest,-0.9938094654980608
fomc_stmt,FOMC statements,FOMC,statement,2002-09-24,bert_score,-0.2857142857142857,RoBERTa/BERT,-0.8065996566133105
fomc_stmt,FOMC statements,FOMC,statement,2002-11-06,net_score,-0.375,Dictionary,-1.4060817420272622
fomc_stmt,FOMC statements,FOMC,statement,2002-11-06,rf_score,-0.20447196422428615,Random Forest,-0.45080896594759184
fomc_stmt,FOMC statements,FOMC,statement,2002-11-06,bert_score,-0.375,RoBERTa/BERT,-1.2227531447302804
fomc_stmt,FOMC statements,FOMC,statement,2002-12-10,net_score,-0.16666666666666666,Dictionary,-0.510837838901166
fomc_stmt,FOMC statements,FOMC,statement,2002-12-10,rf_score,-0.11111973354079788,Random Forest,-0.2547696242275676
fomc_stmt,FOMC statements,FOMC,statement,2002-12-10,bert_score,-0.09090909090909093,RoBERTa/BERT,0.10137159018735103
fomc_stmt,FOMC statements,FOMC,statement,2003-01-29,net_score,-0.16666666666666666,Dictionary,-0.510837838901166
fomc_stmt,FOMC statements,FOMC,statement,2003-01-29,rf_score,-0.10709886460679267,Random Forest,-0.2463258142275962
fomc_stmt,FOMC statements,FOMC,statement,2003-01-29,bert_score,-0.16666666666666666,RoBERTa/BERT,-0.25172833912401726
fomc_stmt,FOMC statements,FOMC,statement,2003-03-18,net_score,-0.07692307692307693,Dictionary,-0.12519431140069384
fomc_stmt,FOMC statements,FOMC,statement,2003-03-18,rf_score,-0.0722555791260269,Random Forest,-0.17315504263487863
fomc_stmt,FOMC statements,FOMC,statement,2003-03-18,bert_score,-0.2,RoBERTa/BERT,-0.4070923080210194
fomc_stmt,FOMC statements,FOMC,statement,2003-05-06,net_score,-0.2857142857142857,Dictionary,-1.0224057835446494
fomc_stmt,FOMC statements,FOMC,statement,2003-05-06,rf_score,-0.12812955307058807,Random Forest,-0.2904901827935697
fomc_stmt,FOMC statements,FOMC,statement,2003-05-06,bert_score,-0.3333333333333333,RoBERTa/BERT,-1.0285481836090278
fomc_stmt,FOMC statements,FOMC,statement,2003-06-25,net_score,-0.3684210526315789,Dictionary,-1.377810881928543
fomc_stmt,FOMC statements,FOMC,statement,2003-06-25,rf_score,-0.5496945530761956,Random Forest,-1.1757751351532448
fomc_stmt,FOMC statements,FOMC,statement,2003-06-25,bert_score,-0.17647058823529413,RoBERTa/BERT,-0.29742362409372386
fomc_stmt,FOMC statements,FOMC,statement,2003-08-12,net_score,-0.17647058823529413,Dictionary,-0.5529669637541588
