corpus_long,bank,meeting_date,score_component,score
FOMC statements,FOMC,2002-09-24,Economic score,-0.16666666666666666
FOMC statements,FOMC,2002-09-24,Aggregate net score,-0.2857142857142857
FOMC statements,FOMC,2002-11-06,Policy score,-0.3333333333333333
FOMC statements,FOMC,2002-11-06,Economic score,-0.09090909090909093
FOMC statements,FOMC,2002-11-06,Aggregate net score,-0.375
FOMC statements,FOMC,2002-12-10,Policy score,-0.16666666666666666
FOMC statements,FOMC,2002-12-10,Economic score,0
FOMC statements,FOMC,2002-12-10,Aggregate net score,-0.16666666666666666
FOMC statements,FOMC,2003-01-29,Policy score,-0.09090909090909093
FOMC statements,FOMC,2003-01-29,Economic score,-0.09090909090909093
FOMC statements,FOMC,2003-01-29,Aggregate net score,-0.16666666666666666
FOMC statements,FOMC,2003-03-18,Policy score,-0.16666666666666666
FOMC statements,FOMC,2003-03-18,Economic score,0.09090909090909093
FOMC statements,FOMC,2003-03-18,Aggregate net score,-0.07692307692307693
FOMC statements,FOMC,2003-05-06,Policy score,-0.09090909090909093
FOMC statements,FOMC,2003-05-06,Economic score,-0.2307692307692308
FOMC statements,FOMC,2003-05-06,Aggregate net score,-0.2857142857142857
FOMC statements,FOMC,2003-06-25,Policy score,-0.375
FOMC statements,FOMC,2003-06-25,Economic score,-0.07692307692307693
FOMC statements,FOMC,2003-06-25,Aggregate net score,-0.3684210526315789
FOMC statements,FOMC,2003-08-12,Policy score,-0.2307692307692308
FOMC statements,FOMC,2003-08-12,Economic score,0
FOMC statements,FOMC,2003-08-12,Aggregate net score,-0.17647058823529413
FOMC statements,FOMC,2003-09-16,Policy score,-0.2307692307692308
FOMC statements,FOMC,2003-09-16,Economic score,0
FOMC statements,FOMC,2003-09-16,Aggregate net score,-0.17647058823529413
FOMC statements,FOMC,2003-10-28,Policy score,-0.2307692307692308
FOMC statements,FOMC,2003-10-28,Economic score,0
FOMC statements,FOMC,2003-10-28,Aggregate net score,-0.17647058823529413
FOMC statements,FOMC,2003-12-09,Policy score,-0.2307692307692308
FOMC statements,FOMC,2003-12-09,Economic score,-0.07692307692307693
FOMC statements,FOMC,2003-12-09,Aggregate net score,-0.25
FOMC statements,FOMC,2004-01-28,Policy score,-0.2307692307692308
FOMC statements,FOMC,2004-01-28,Economic score,-0.07692307692307693
FOMC statements,FOMC,2004-01-28,Aggregate net score,-0.25
FOMC statements,FOMC,2004-03-16,Policy score,-0.2307692307692308
FOMC statements,FOMC,2004-03-16,Economic score,0
FOMC statements,FOMC,2004-03-16,Aggregate net score,-0.15789473684210523
FOMC statements,FOMC,2004-05-04,Policy score,-0.2307692307692308
FOMC statements,FOMC,2004-05-04,Economic score,0
